entity_type,entity_id,name,status,issues,fixes_applied
product,2603311a-a1a4-5781-81ee-f44d0b13b894,RANGE DUNA TAUPE DECOR B,clean,,
product,27139452-b783-5695-8b98-a15a4991dc16,BARCELONA FORBES 617,clean,,
product,27fe45e8-61d0-5ddd-a0bc-aa6c5681a6f6,EDDICA LUX STATUARIO,clean,,
product,288b689a-9526-5a94-8a14-0bdf6ba97547,PENGVIN 2082 D,clean,,
product,2ac71677-394d-5e75-977d-cb3f416548f8,VARMORA DELIGHT IVORY,clean,,
product,2c6cea83-d5c3-5211-bb65-da29603713e6,STARCO IVORY BEVELLED,clean,,
product,2d0f21ea-200f-5d84-9dee-22916ff9e042,ASIAN GRANITO LIMITED BACKSPLASH CREMA,clean,,
product,2d37360d-38fb-539f-8b26-20c8ab287577,ASIAN GRANITO LIMITED TIJOLO GRASS,clean,,
product,2d65de91-fbec-5dd8-8503-e0ca4e064dc4,VARMORA IRIS BEIGE,clean,,
product,2dc50701-ccf8-5ad1-973f-19bbc42dfcfb,RANGE CA 3680 D,clean,,
product,2f049c7d-208a-54a8-85c2-25deb6320293,BARCELONA 21304 D,clean,,
product,2f4e0570-2bf4-5bdd-a3ba-d6ac4c68ded0,PASSERO LIME PINE,clean,,
product,309f2579-cd06-5e80-a8b5-7c8aee6a956e,LIZZART ROCK ALMOND,clean,,
product,30d865e8-f950-55ca-abd6-c59f0819a3ff,COVERTEK AMAZONITE,clean,,
product,3163f236-a266-5f7c-81bc-9672758eb43a,BARCELONA FORBES 623,clean,,
product,3351c806-ac26-58ec-ab1d-0dd2f1a38fdd,COVERTEK METH GREY,clean,,
product,33719135-275f-5833-a59f-c22453710c05,LIZZART ROCK DOVE,clean,,
product,341f11ce-1a2b-586e-8bf5-b85b6fbbfcfc,ETHICS 2513,clean,,
product,350a1aa8-2c62-5ae1-b76a-ab29d920df49,GVIT BROWSER WOOD,clean,,
