product_id,product_name,status,txn_count,opening_balance,baseline_opening_balance,reconciliation_gap,net_movement,current_quantity,projected_final,reasons
6e03c68d-bfa8-5be2-96a7-8b5e81e8c9be,RANGE CARVEN CREMA,clean,8,0,0,0,27,27,27,
6ed96498-ce60-5717-8fd4-208af5542d2c,EDDICA VEGANCE DARK,clean,26,0,0,0,123,123,123,
6fb6650e-da0a-5dfe-ae26-70c4cb3fc8cb,PLATINA BLACK GOLDY,clean,12,0,0,0,0,0,0,
71547334-7717-5147-8ff7-4942f4cc903c,BARCELONA 21129 HL2,clean,3,0,0,0,18,18,18,
71cc4a9b-11e4-5bd1-8713-a431c12e0d9b,PORTOCER TRUE DARK GREY,clean,2,0,0,0,24,24,24,
737d9dcf-3345-522d-96c0-a3a5163f4d18,COVERTEK ROCKER OSLO GRIGIO,clean,19,0,0,0,0,0,0,
75413c50-1d17-5860-837a-d3e4e550790c,BARCELONA ALPS 001,clean,9,0,0,0,0,0,0,
760aa8a1-7819-5ca9-83ed-5541c8d5b5e5,CAPTIVA WHITE,clean,20,0,0,0,42,42,42,
76922a8c-debd-54a4-9a1d-c693774be5e3,COVERTEK BURBERRY BIANCO,clean,5,0,0,0,0,0,0,
7706f99e-6d25-5df2-924b-6e98d84d9969,RANGE DUNA TAUPE,clean,9,0,0,0,21,21,21,
774bf3ab-05a5-53d5-8332-a4e6107165b1,BARCELONA NERO 607,clean,5,0,0,0,151,151,151,
7869cade-e763-5179-86d2-49482739bdd4,ASIAN GRANITO LIMITED TROPIC YELLOW,clean,12,0,0,0,0,0,0,
78e529ec-72d9-5b5b-9c92-56f564d0940b,ETHICS GREY & WHITE HL3,clean,3,0,0,0,0,0,0,
78fe0b76-b0a5-5a19-a258-9343fe162f1b,BARCELONA AMPTO 606,clean,33,0,0,0,56,56,56,
7a630457-2a57-51b7-8b60-f7cd7d81ba4e,CAPTIVA 3262 HL1,clean,86,0,0,0,1,1,1,
7b1acede-5efe-5644-8cbd-31a948c4f8ab,PORTOCER TRUE DOVE MATT,clean,2,0,0,0,17,17,17,
7c761312-f401-58bd-93eb-13133d630909,ASIAN GRANITO LIMITED BACKSPLASH BROWN DECOR,clean,4,0,0,0,60,60,60,
7c7ea261-9149-5726-b84e-87da0ce984f5,RANGE BRILLO GRIS,clean,19,0,0,0,90,90,90,
7d9f99e5-c262-5535-b418-3be2c0081705,ETHICS SUCKERE DC 204,clean,16,0,0,0,0,0,0,
7e377fbb-30a2-569a-aa6a-6f318ed0ebe1,BARCELONA 21235 HL2,clean,5,0,0,0,51,51,51,
8077eb9f-2e30-5b38-8bfd-33250d08c981,COVERTEK SAGON BIANCO,clean,8,0,0,0,0,0,0,
814579b5-90f0-5d38-b5e7-ba59aa581031,ETHON END 7106,clean,51,0,0,0,74,74,74,
815a74a1-7227-5fca-8ebf-ee66d5549562,BARCELONA KAROH 626,clean,2,0,0,0,0,0,0,
81f51be4-20fd-52ed-869b-2b9b2ce4e70e,ETHICS REDON BLUE,clean,2,0,0,0,0,0,0,
8428e02f-6ccd-502c-8365-f23ad3167550,TAG 24185 HL,clean,48,0,0,0,0,0,0,
848ff793-d51e-555d-bfbf-4d6e2fcb45f3,TAG 24805 DECOR,clean,4,0,0,0,54,54,54,
85554dc8-19ef-50fb-a526-980c8f7bac9c,TAG 24185,clean,51,0,0,0,0,0,0,
855dfb65-51e1-5546-b38f-d826cca2b77f,BARCELONA SISPARA 001,clean,8,0,0,0,41,41,41,
8592de31-5182-5b69-9d2b-b6eb37d5b6d3,CAPTIVA 3532 HL1,clean,97,0,0,0,192,192,192,
85a9bdf9-434c-55aa-9fd7-bde1373b29ff,RANGE DUKE GREY,clean,27,0,0,0,41,41,41,
